"Gene Symbol"	"Affy ProbeId"	"TSNI Ranking"	"Binding Score *"	"TSNI score"	"pvalue TSNI"	"Area*"	"pvalue*"	"Genes found in literature (Perez & Pietenpol, Cell Cycle 6:3, e1-e9, 2007"	"Genes found in literature Truong et al,  2006 20: 3185-3197 Genes & Dev. )"	"Genes found in literature  (Yang et al, Molecular Cell 24, 593â€“602, November 17, 2006)"	"Genes found in literature Vigano MA et al, EMBO J. 2006 Nov 1;25(21):5105-16."
"Cxcl5"	"1419728_at"	1	0	-1.76E+00	0.0001	2.16E+01	0	0	0	0	0
"Egr1"	"1417065_at"	2	0	1.61E+00	0.0002	7.44E+00	0.0229	0	0	0	0
"Sprrl2"	"1420350_at"	3	0	-1.46E+00	0.0008	7.32E+00	0.022	0	0	0	0
"Aox4"	"1419215_at"	4	39.0983	-1.41E+00	0.0012	3.96E+00	0.0034	0	0	0	0
"Artn"	"1432032_a_at"	5	28.4485	1.34E+00	0.0021	3.35E+00	0.0001	0	1	1	0
"Nucb2"	"1418355_at"	6	0	-1.33E+00	0.0023	1.72E+00	0.0004	0	0	0	0
"Sprr2j"	"1450811_at"	7	25.2249	-1.31E+00	0.0026	1.59E+00	0.0119	0	0	0	0
"Prdm1"	"1420425_at"	8	0	-1.24E+00	0.0044	4.43E+00	0	0	0	1	0
"Prss22"	"1420352_at"	9	43.0272	-1.22E+00	0.0051	3.69E+00	0.0004	0	0	0	0
"Cyp1b1"	"1416612_at"	10	15.7143	1.20E+00	0.0058	1.18E+01	0	0	1	0	0
"Cdsn"	"1435191_at"	11	41.0119	-1.19E+00	0.0063	4.02E+00	0	0	1	0	0
"Eppk1"	"1427537_at"	12	144.2272	1.19E+00	0.0063	4.34E+00	0	0	0	0	0
"Serpinb11"	"1449451_at"	13	12.8655	-1.19E+00	0.0063	4.19E+00	0.0035	0	0	0	0
"Pthlh"	"1422324_a_at"	14	0	1.16E+00	0.0077	4.57E+00	0.0001	0	1	0	0
"Tnnt2"	"1424967_x_at"	15	19.0676	-1.15E+00	0.0082	2.93E+00	0.0013	0	0	0	0
"Bhlhb2"	"1418025_at"	16	0	-1.12E+00	0.01	6.23E+00	0	0	0	0	0
"Sprr2f"	"1449833_at"	17	0	-1.12E+00	0.01	1.97E+00	0	0	0	0	0
"2310056P07Rik"	"1451385_at"	18	48.6049	-1.11E+00	0.0107	5.80E+00	0	0	0	0	0
"Bnip3"	"1422470_at"	19	0	-1.09E+00	0.0121	3.38E+00	0.0001	0	1	0	0
"Ugcg"	"1421269_at"	20	18.4257	-1.08E+00	0.0129	3.73E+00	0	0	1	0	0
"Sprr2i"	"1422963_at"	21	0	-1.07E+00	0.0138	7.51E+00	0.0001	0	0	0	0
"Cyr61"	"1416039_x_at"	22	0	-1.07E+00	0.0138	1.96E+00	0	1	0	0	0
"Ugcg"	"1435133_at"	23	18.4257	-1.05E+00	0.0156	2.45E+00	0.0001	0	1	0	0
"Gp1bb"	"1422977_at"	24	0	-1.05E+00	0.0156	2.60E+00	0.011	0	0	0	0
"Areg"	"1421134_at"	25	0	1.05E+00	0.0156	2.17E+01	0	0	0	0	0
"Btbd3"	"1425660_at"	26	33.447	-1.04E+00	0.0166	3.22E+00	0	0	0	0	0
"Mxd1"	"1422002_at"	27	11.96	-1.02E+00	0.0188	2.98E+00	0.044	0	0	0	0
"Tmem40"	"1424966_at"	28	26.6848	-1.02E+00	0.0188	1.74E+00	0.02	0	0	0	0
"Gp1bb /// Sept5"	"1452357_at"	29	0	-9.99E-01	0.0213	4.07E+00	0	1	0	0	0
"Cyp1b1"	"1416613_at"	30	15.7143	9.85E-01	0.0232	7.79E+00	0	0	1	0	0
"Elf3"	"1416916_at"	31	20.6447	-9.46E-01	0.0291	3.01E+00	0.0152	0	1	1	0
"Tnnt2"	"1418726_a_at"	32	19.0676	-9.43E-01	0.0296	3.49E+00	0	0	0	0	0
"Pgea1"	"1451305_at"	33	0	9.34E-01	0.0312	2.21E+00	0	0	0	0	0
"Zfand6"	"1422031_a_at"	34	0	-9.32E-01	0.0315	1.55E+00	0	0	0	0	0
"Pfkl"	"1439148_a_at"	35	0	-9.23E-01	0.0332	7.91E+00	0	0	0	0	0
"Ndrg1"	"1456174_x_at"	36	10.9572	-9.18E-01	0.0341	3.43E+00	0.0007	0	1	0	0
"Psca"	"1451258_at"	37	0	-9.16E-01	0.0345	7.41E+00	0	0	0	0	0
"LOC14433 /// LOC380687 /// AK190093 /// LOC384808 /// Gapdh /// LOC432919 /// LOC545984 /// LOC622339 /// LOC630967 /// LOC632720 /// LOC639817 /// LOC665036 /// LOC667048 /// LOC667806 /// LOC670367 /// LOC671520 /// LOC671913 /// LOC672238 /// LOC676700"	"1447999_x_at"	38	0	-9.10E-01	0.0357	1.69E+00	0.0004	0	0	0	0
"Sgk"	"1416041_at"	39	0	-9.06E-01	0.0365	2.39E+00	0.0012	0	0	1	0
"Niban"	"1422567_at"	40	0	9.02E-01	0.0373	2.41E+00	0.0001	0	0	0	0
"Fos"	"1423100_at"	41	18.998	8.81E-01	0.0419	9.17E+00	0	1	0	0	0
"Elovl4"	"1451308_at"	42	61.9181	-8.70E-01	0.0444	3.08E+00	0	0	0	0	0
"Cnp1"	"1437341_x_at"	43	11.2486	8.70E-01	0.0444	1.64E+00	0.0174	0	0	0	0
"Stx3"	"1425536_at"	44	20.4015	8.62E-01	0.0464	3.46E+00	0.0002	0	0	0	0
"Muc10"	"1451637_a_at"	45	0	-8.57E-01	0.0476	2.09E+00	0	0	0	0	0
"Ifitm2"	"1417460_at"	46	0	-8.55E-01	0.0482	1.99E+00	0.0015	0	0	0	0
"Ndrg1"	"1423413_at"	47	10.9572	-8.52E-01	0.0489	5.31E+00	0.0005	0	1	0	0
"D5Ertd593e"	"1434442_at"	48	11.2036	8.50E-01	0.0495	1.20E+01	0	0	0	0	0
"Ndrl"	"1420760_s_at"	49	10.9572	-8.43E-01	0.0513	4.31E+00	0.0004	0	0	0	0
"Edn1"	"1451924_a_at"	50	16.8543	-8.38E-01	0.0527	1.40E+01	0	0	0	0	0
"Figf"	"1438954_x_at"	51	77.0515	-8.22E-01	0.0573	2.23E+00	0.02	0	0	0	0
"Ang2"	"1422415_at"	52	20.178	-8.20E-01	0.0579	1.97E+00	0.0387	0	0	0	0
"Maff"	"1418936_at"	53	0	-8.10E-01	0.0609	3.64E+00	0.0047	1	0	0	0
"Stom"	"1438910_a_at"	54	42.8458	-8.09E-01	0.0612	3.46E+00	0.0146	0	0	0	0
"Clic3"	"1429574_at"	55	0	-8.04E-01	0.0628	1.66E+00	0.0002	0	1	0	0
"Fosl1"	"1417487_at"	56	43.9822	8.03E-01	0.0631	6.57E+00	0	0	0	0	0
"Zfp36"	"1452519_a_at"	57	0	-8.00E-01	0.0641	5.05E+00	0.0002	0	1	0	0
"Prkg1"	"1449876_at"	58	419.4006	8.00E-01	0.0641	2.33E+00	0.0002	0	0	0	0
"Sdcbp2"	"1424090_at"	59	0	-7.94E-01	0.0661	2.46E+00	0.005	0	0	0	0
"Klf6"	"1427742_a_at"	60	30.8729	7.93E-01	0.0664	9.20E+00	0.0048	0	0	0	0
"Lpin2"	"1452836_at"	61	19.318	-7.91E-01	0.0671	3.79E+00	0	0	0	0	0
"Slc20a1"	"1438824_at"	62	0	7.91E-01	0.0671	1.57E+01	0	0	0	0	0
"Lif"	"1421207_at"	63	20.3995	7.89E-01	0.0678	8.56E+00	0	0	0	0	0
"Pdk1"	"1423748_at"	64	24.2075	-7.83E-01	0.0698	4.31E+00	0	0	0	0	0
"Tpi1"	"1415918_a_at"	65	0	-7.80E-01	0.0709	1.95E+00	0	0	0	0	0
"Cdca7l"	"1451306_at"	66	0	7.79E-01	0.0712	1.59E+00	0.0058	0	0	0	0
"Smo"	"1427048_at"	67	37.8877	-7.79E-01	0.0712	2.16E+00	0	0	0	1	0
"Msh6"	"1416915_at"	68	0	7.79E-01	0.0712	3.05E+00	0	0	0	0	0
"Ly6g6c"	"1422749_at"	69	0	-7.66E-01	0.076	7.40E+00	0	0	0	0	0
"Cyp3a13"	"1419523_at"	70	11.4599	7.59E-01	0.0786	7.57E+00	0.0007	0	0	0	0
"Hmox1"	"1448239_at"	71	10.0217	-7.57E-01	0.0794	1.04E+01	0	0	1	0	0
"Tcf19"	"1423809_at"	72	15.4721	7.53E-01	0.081	4.37E+00	0	0	0	0	0
"1100001H23Rik"	"1448786_at"	73	47.2316	-7.53E-01	0.081	2.39E+00	0	0	0	0	0
"Arhgap24"	"1424842_a_at"	74	141.0147	7.43E-01	0.085	1.92E+00	0.0018	0	0	0	0
"Rad51"	"1418281_at"	75	0	7.43E-01	0.085	4.56E+00	0	0	0	0	0
"Ereg"	"1419431_at"	76	0	7.41E-01	0.0858	9.25E+00	0	0	0	0	0
"Ppif"	"1416940_at"	77	14.0079	-7.40E-01	0.0862	5.38E+00	0	0	0	0	0
"Tpi1"	"1452927_x_at"	78	0	-7.35E-01	0.0883	1.61E+00	0.0007	0	0	0	0
"2300002G24Rik"	"1453092_at"	79	22.7075	-7.35E-01	0.0883	2.66E+00	0.0002	0	0	0	0
"Clcf1"	"1437271_at"	80	10.8655	7.35E-01	0.0883	6.79E+00	0	0	0	0	0
"Gadd45a"	"1449519_at"	81	55.7105	-7.26E-01	0.0922	3.94E+00	0	1	0	1	0
"Ptges"	"1449450_at"	82	58.3073	-7.25E-01	0.0926	1.80E+00	0	1	0	0	0
"Elovl4"	"1424306_at"	83	61.9181	-7.25E-01	0.0926	1.97E+00	0.0018	0	0	0	0
"Hsd17b4"	"1455777_x_at"	84	12.0008	-7.23E-01	0.0935	1.54E+00	0.0003	0	0	0	0
"Elk3"	"1448797_at"	85	54.8229	-7.22E-01	0.0939	4.82E+00	0	0	0	0	0
"Vsnl1"	"1450055_at"	86	142.9577	-7.22E-01	0.0939	2.68E+00	0.0465	1	0	0	0
"2810048G17Rik"	"1417218_at"	87	27.1296	7.15E-01	0.0971	2.01E+00	0	0	0	0	0
"Gsta1 /// Gsta2"	"1421041_s_at"	88	14.0936	-7.15E-01	0.0971	1.64E+00	0.0456	0	0	0	0
"Pfn2"	"1418210_at"	89	0	7.14E-01	0.0976	3.29E+00	0	0	0	0	0
"Helb"	"1419234_at"	90	40.2226	7.09E-01	0.0999	2.72E+00	0.0086	0	0	0	0
"Il1rn"	"1423017_a_at"	91	11.121	-7.08E-01	0.1003	2.30E+00	0.0039	0	1	1	0
"Ptk9l"	"1431292_a_at"	92	0	7.08E-01	0.1003	2.24E+00	0	0	0	0	0
"Myadm"	"1423321_at"	93	0	7.08E-01	0.1003	1.93E+00	0.0229	0	0	0	0
"2510042P03Rik"	"1423672_at"	94	0	7.04E-01	0.1022	2.48E+00	0.0204	0	0	0	0
"Ak1"	"1422184_a_at"	95	0	-7.02E-01	0.1032	8.00E+00	0	0	0	0	0
"Cldn1"	"1450014_at"	96	69.5186	-7.01E-01	0.1036	4.70E+00	0	0	1	1	0
"Scel"	"1422837_at"	97	48.8426	-7.01E-01	0.1036	5.85E+00	0	0	0	0	0
"Prnd"	"1425681_a_at"	98	42.4225	6.92E-01	0.108	1.11E+01	0	0	0	0	0
"Cyr61"	"1438133_a_at"	99	0	-6.89E-01	0.1095	2.63E+00	0	1	0	0	0
"Gabrp"	"1424647_at"	100	11.1114	6.85E-01	0.1116	5.13E+00	0.0271	0	0	0	0
"Zfp36l2"	"1437626_at"	101	0	6.81E-01	0.1136	1.56E+00	0.0001	0	0	0	0
"Zfand5"	"1416085_s_at"	102	0	-6.72E-01	0.1183	2.85E+00	0	0	0	0	0
"Sprrl9"	"1449959_x_at"	103	0	-6.71E-01	0.1189	7.58E+00	0	0	0	0	0
"Ptk9l"	"1439440_x_at"	104	0	6.65E-01	0.1221	1.87E+00	0.0007	0	0	0	0
"Krt14"	"1455573_at"	105	0	6.62E-01	0.1238	4.85E+00	0.0004	1	0	0	0
"Gtl3"	"1419462_s_at"	106	0	-6.61E-01	0.1243	1.73E+00	0	0	0	0	0
"Hist1h4h /// Hist2h4 /// Hist1h4c /// Hist1h4i /// Hist1h4j /// Hist1h4k /// Hist1h4m /// Hist1h4a /// Hist1h4b"	"1422948_s_at"	107	0	6.61E-01	0.1243	2.43E+00	0	0	0	0	0
"Riok3"	"1422650_a_at"	108	0	6.57E-01	0.1266	1.81E+00	0	0	0	1	0
"Stmn1 /// LOC639458"	"1448113_at"	109	0	-6.51E-01	0.13	5.70E+00	0	0	0	0	0
"Rnf11"	"1426404_a_at"	110	0	-6.51E-01	0.13	1.73E+00	0	0	0	0	0
"Pard6b"	"1423174_a_at"	111	0	6.51E-01	0.13	5.73E+00	0.0079	0	0	1	0
"Ndrg1 /// Ndrl"	"1450977_s_at"	112	10.9572	-6.38E-01	0.1376	4.66E+00	0.0167	0	0	0	0
"Tpi1"	"1435659_a_at"	113	0	-6.38E-01	0.1376	2.76E+00	0.0112	0	0	0	0
"Gpi1 /// LOC676596"	"1420997_a_at"	114	0	-6.37E-01	0.1382	1.98E+00	0	0	0	0	0
"Pfkl"	"1450269_a_at"	115	0	-6.35E-01	0.1394	6.40E+00	0	0	0	0	0
"Eps8l1"	"1450470_at"	116	0	-6.34E-01	0.14	1.60E+00	0.0093	0	0	0	0
"1110012L19Rik"	"1451302_at"	117	0	6.28E-01	0.1437	2.79E+00	0	0	0	0	0
"Nans"	"1417774_at"	118	0	-6.27E-01	0.1443	1.95E+00	0.0013	0	0	0	0
"Nedd4l"	"1423269_a_at"	119	0	6.27E-01	0.1443	3.19E+00	0	0	0	0	0
"Arl6ip2"	"1416794_at"	120	0	6.25E-01	0.1456	2.77E+00	0	0	0	0	0
"Hbegf"	"1418350_at"	121	27.7752	6.25E-01	0.1456	3.83E+00	0	1	0	1	0
"Mcm2"	"1448777_at"	122	0	6.22E-01	0.1474	2.13E+00	0.0103	0	0	0	0
"Klk6"	"1448982_at"	123	0	-6.19E-01	0.1494	3.04E+00	0	0	1	0	0
"Cdc23"	"1433430_s_at"	124	18.2854	6.18E-01	0.15	1.91E+00	0	0	0	0	0
"Ccng2"	"1448364_at"	125	0	-6.16E-01	0.1513	7.11E+00	0	0	0	1	0
"S100a3"	"1421856_at"	126	0	-6.14E-01	0.1526	2.57E+00	0.0247	0	0	0	0
"Ccnl2"	"1454149_a_at"	127	0	6.10E-01	0.1552	1.50E+00	0.0029	0	0	0	0
"Gch1"	"1420499_at"	128	0	-6.09E-01	0.1558	8.17E+00	0	0	0	1	0
"Ypel5"	"1451196_at"	129	0	-6.07E-01	0.1572	1.86E+00	0.0216	0	0	0	0
"Gas5"	"1424843_a_at"	130	0	6.06E-01	0.1578	8.15E+00	0.0002	0	0	0	0
"Ccnf"	"1422513_at"	131	0	5.97E-01	0.1639	2.29E+00	0	0	0	0	0
"Rpa1"	"1423293_at"	132	0	5.94E-01	0.166	1.77E+00	0	0	0	0	0
"Apcdd1"	"1454822_x_at"	133	0	5.94E-01	0.166	2.14E+00	0	0	0	0	0
"Gpi1"	"1450081_x_at"	134	0	-5.93E-01	0.1667	1.80E+00	0	0	0	0	0
"Ndrg1"	"1450976_at"	135	10.9572	-5.91E-01	0.1681	2.27E+00	0.0013	0	1	0	0
"Aldh1a3"	"1448789_at"	136	0	-5.91E-01	0.1681	6.84E+00	0	1	0	1	0
"Gne"	"1448810_at"	137	0	-5.90E-01	0.1688	3.42E+00	0.0057	0	0	0	0
"Ndn"	"1435383_x_at"	138	0	5.89E-01	0.1695	2.91E+00	0.031	0	0	0	0
"Ssbp3"	"1427917_s_at"	139	0	5.83E-01	0.1737	2.84E+00	0	0	0	0	0
"Cfl2"	"1418067_at"	140	0	5.79E-01	0.1766	2.18E+00	0	0	0	0	0
"Ccng2"	"1416488_at"	141	0	-5.76E-01	0.1788	7.15E+00	0	0	0	1	0
"Clcf1"	"1437270_a_at"	142	10.8655	5.74E-01	0.1803	7.17E+00	0	0	0	0	0
"P4ha1"	"1452094_at"	143	0	-5.70E-01	0.1832	1.79E+00	0.0052	0	0	0	0
"Dck"	"1439012_a_at"	144	0	5.67E-01	0.1855	4.89E+00	0.0001	0	0	0	0
"Tmprss4"	"1426302_at"	145	0	-5.66E-01	0.1862	2.65E+00	0	0	0	0	0
"Ugcg"	"1421268_at"	146	18.4257	-5.66E-01	0.1862	6.29E+00	0	0	1	0	0
"Mcm3"	"1426653_at"	147	0	5.65E-01	0.187	2.39E+00	0.0212	0	0	0	0
"Mgea5"	"1422900_at"	148	0	5.61E-01	0.19	2.73E+00	0.001	0	0	0	0
"2810027O19Rik"	"1449345_at"	149	0	-5.57E-01	0.1931	5.44E+00	0	0	0	1	0
"1500005K14Rik"	"1456603_at"	150	0	-5.57E-01	0.1931	1.87E+00	0	0	0	0	0
"Grpel2"	"1452262_at"	151	0	5.56E-01	0.1939	5.99E+00	0	0	0	0	0
"Elk3"	"1417662_at"	152	54.8229	-5.54E-01	0.1954	4.35E+00	0	0	0	0	0
"Prpf4b"	"1436427_at"	153	0	5.54E-01	0.1954	3.74E+00	0.0021	0	0	1	0
"Siva"	"1452020_a_at"	154	0	5.52E-01	0.197	4.81E+00	0	0	0	0	0
"Man1a"	"1417110_at"	155	0	5.48E-01	0.2001	2.10E+00	0.0152	0	0	1	0
"5830411E10Rik"	"1460521_a_at"	156	0	-5.47E-01	0.2009	6.63E+00	0	0	0	0	0
"Hmgn2"	"1433507_a_at"	157	0	5.45E-01	0.2025	2.02E+00	0.0482	0	0	0	0
"Dusp16"	"1418401_a_at"	158	0	-5.43E-01	0.2042	6.80E+00	0	0	0	0	0
"Prkd2"	"1436589_x_at"	159	0	5.43E-01	0.2042	1.90E+00	0	0	0	0	0
"Arrdc4"	"1424759_at"	160	0	5.41E-01	0.2058	2.69E+00	0	0	0	0	0
"Sult2b1"	"1417335_at"	161	0	-5.41E-01	0.2058	1.66E+00	0.0029	0	1	0	0
"Mmp13"	"1417256_at"	162	0	5.39E-01	0.2074	7.94E+00	0	0	0	1	0
"Tchh"	"1434425_at"	163	0	-5.39E-01	0.2074	1.02E+01	0	0	0	0	0
"Cxcl14"	"1418457_at"	164	0	-5.36E-01	0.2099	1.93E+00	0.044	0	1	0	0
"Ddit4l"	"1451751_at"	165	0	5.35E-01	0.2107	7.34E+00	0	0	0	0	0
"Adipor1"	"1424312_at"	166	0	-5.35E-01	0.2107	2.46E+00	0	0	0	1	0
"Zfand5"	"1416084_at"	167	0	-5.32E-01	0.2132	3.86E+00	0	0	0	0	0
"Nudt1"	"1449349_at"	168	0	5.31E-01	0.214	1.73E+00	0	0	0	0	0
"Klf3"	"1421604_a_at"	169	0	-5.29E-01	0.2157	2.05E+00	0	0	0	1	0
"Zdhhc9"	"1454787_at"	170	0	5.28E-01	0.2165	1.93E+00	0.0001	0	0	0	0
"Pfn2"	"1436993_x_at"	171	0	5.27E-01	0.2174	2.89E+00	0.0001	0	0	0	0
"Tgoln1"	"1423309_at"	172	0	5.25E-01	0.219	3.21E+00	0	0	0	0	0
"Casq2"	"1422529_s_at"	173	0	5.20E-01	0.2233	1.66E+00	0	0	0	1	0
"Siva"	"1418377_a_at"	174	0	5.20E-01	0.2233	5.62E+00	0	0	0	0	0
"Pvr"	"1451160_s_at"	175	0	5.18E-01	0.225	4.51E+00	0	0	0	0	0
"Blzf1"	"1418974_at"	176	0	5.17E-01	0.2259	1.82E+00	0.0009	0	0	0	0
"Ddit3"	"1417516_at"	177	0	-5.13E-01	0.2294	6.86E+00	0	0	0	0	0
"Fosl1"	"1417488_at"	178	43.9822	5.10E-01	0.232	6.78E+00	0	0	0	0	0
"Prpf39"	"1452688_at"	179	0	-5.09E-01	0.2329	3.35E+00	0.0282	0	0	0	0
"1110001A16Rik"	"1435755_at"	180	0	-5.06E-01	0.2356	1.92E+00	0	0	0	0	0
"Car2"	"1448752_at"	181	0	5.05E-01	0.2365	8.11E+00	0	0	0	0	0
"Klk7"	"1423542_at"	182	0	-5.05E-01	0.2365	2.91E+00	0	0	0	0	0
"Rbm14"	"1456566_x_at"	183	0	5.04E-01	0.2374	1.83E+00	0	0	0	1	0
"Ankrd47"	"1448839_at"	184	0	5.04E-01	0.2374	3.54E+00	0.0009	0	0	1	0
"Klf6"	"1433508_at"	185	30.8729	-5.03E-01	0.2383	7.02E+00	0	0	0	0	0
"Nme4"	"1416798_a_at"	186	0	5.02E-01	0.2392	3.56E+00	0	0	0	0	0
"6720460F02Rik"	"1452073_at"	187	0	4.98E-01	0.2428	1.86E+00	0	0	0	0	0
"Pard6b"	"1423175_s_at"	188	0	4.97E-01	0.2437	6.17E+00	0	0	0	1	0
